Price,Close,High,Low,Open,Volume
Ticker,2317.TW,2317.TW,2317.TW,2317.TW,2317.TW
Date,,,,,
2000-01-03,23.931795120239258,23.931795120239258,23.931795120239258,23.931795120239258,0
2000-01-04,12.68216609954834,12.784538249306578,12.121779152054527,12.272678603283286,100969038
2000-01-05,12.68216609954834,12.989282548823056,12.42823173505302,12.530602782043358,78951612
2000-01-06,12.68216609954834,12.989282548823056,12.375050753041524,12.735347081559835,94351308
2000-01-07,12.170307159423828,12.530603508839947,12.067935003727829,12.272679315119829,63538583
2000-01-10,12.428231239318848,12.632974427900681,12.067933822404092,12.272678113753779,71348563
2000-01-11,12.326526641845703,13.193365293919877,12.326526641845703,13.193365293919877,113739712
2000-01-12,13.042462348937988,13.042462348937988,12.272678528824905,12.477422827099199,105636792
2000-01-13,13.042462348937988,13.500478246662679,12.940091302568735,13.247207749980175,180292164
2000-01-14,12.53060531616211,13.295736717908248,12.530605316162111,13.19336454744684,75928603
2000-01-17,12.98928165435791,13.247206918124688,12.837718347289847,12.940090489998557,63291557
2000-01-18,12.940091133117676,13.144835428710834,12.837718985321096,13.091654447718396,36009878
2000-01-19,12.632977485656738,12.989285174708584,12.57979649289429,12.940093997017458,39957690
2000-01-20,12.735349655151367,12.784540832838788,12.477425424269317,12.784540832838788,26366721
2000-01-21,12.68216609954834,12.940091381076313,12.68216609954834,12.735347081559835,47431990
2000-01-24,12.53060531616211,12.94009399800774,12.530605316162111,12.94009399800774,31916914
2000-01-25,12.428231239318848,12.6821655936853,12.42823123931885,12.530602282225836,22894992
2000-01-26,12.477425575256348,12.682168815857514,12.375053403571696,12.428234396973673,47392321
2000-01-27,12.428231239318848,12.6821655936853,12.42823123931885,12.6821655936853,24439421
2000-01-28,12.579794883728027,12.78453919844495,12.428232657738798,12.428232657738798,47079264
2000-01-31,12.735349655151367,12.886913003284652,12.682168662392924,12.784540832838788,31397900
2000-02-01,12.579794883728027,12.886911355803411,12.530603712329277,12.83772018440466,84326933
2000-02-02,12.579794883728027,12.579794883728027,12.579794883728027,12.579794883728027,0
2000-02-03,12.579794883728027,12.579794883728027,12.579794883728027,12.579794883728027,0
2000-02-04,12.579794883728027,12.579794883728027,12.579794883728027,12.579794883728027,0
2000-02-07,12.579794883728027,12.579794883728027,12.579794883728027,12.579794883728027,0
2000-02-08,12.579794883728027,12.579794883728027,12.579794883728027,12.579794883728027,0
2000-02-09,12.68216609954834,13.247207830351028,12.68216609954834,12.886910399064817,304085414
2000-02-10,12.940091133117676,12.940091133117676,12.53060254193136,12.68216585653208,187384723
2000-02-11,13.807600021362305,13.807600021362305,13.091659670216192,13.091659670216192,344853284
2000-02-14,13.807600021362305,14.421167081105416,13.807600021362305,14.114716587266345,406964176
2000-02-15,14.577377319335938,14.625904616534447,13.807593562319052,14.065517718373252,241149462
2000-02-16,14.372635841369629,14.625906347262807,14.270263688509521,14.577379044321914,161401143
2000-02-17,14.217082977294922,14.577379323633693,14.21708297729492,14.21708297729492,125048123
2000-02-18,14.065521240234375,14.475009905750497,14.065521240234375,14.475009905750497,107253028
2000-02-21,13.091656684875488,13.553661366972154,13.091656684875488,13.553661366972154,87638759
2000-02-22,13.295735359191895,13.553660666523353,13.091656008302941,13.091656008302941,134753118
2000-02-23,13.909971237182617,14.217086678839767,13.349584116069979,13.500482511282094,215180424
2000-02-24,14.270264625549316,14.475008944713824,14.012340422037875,14.318790828908693,214266979
2000-02-25,14.318792343139648,14.728281024772627,14.270266134648566,14.372638305056809,206994478
2000-02-28,14.318792343139648,14.31879234313965,14.31879234313965,14.31879234313965,0
2000-02-29,14.625905990600586,14.679085870158701,14.270263340519877,14.475007641247272,134264876
2000-03-01,14.372635841369629,14.830650652983024,14.372635841369629,14.728278500122917,108432762
2000-03-02,14.421163558959961,14.625907886223697,14.372637353680998,14.475009517312866,83138031
2000-03-03,14.421163558959961,14.523535722591829,14.167893026417262,14.421163558959961,62989128
2000-03-06,14.318792343139648,14.421164513547893,13.963149623423833,14.114714074269544,68070596
2000-03-07,14.625905990600586,14.625905990600588,14.318789539509496,14.318789539509496,95097517
2000-03-08,15.035394668579102,15.088574548407879,14.523533914155461,14.625906065040189,171716614
2000-03-09,15.444220542907715,15.498066506209788,14.933025749665,15.137770095747491,195730616
2000-03-10,15.498066902160645,15.85370964010966,15.19095037519057,15.600439077817335,181412129
2000-03-13,14.47500991821289,15.190949011562328,14.421163958368666,14.421163958368666,178226695
2000-03-14,14.577377319335938,14.728276757280545,14.065517718373252,14.67908449109645,174302792
2000-03-15,14.167893409729004,14.577380972567095,14.065521243327463,14.52353611552547,163459471
