Price,Close,High,Low,Open,Volume
Ticker,2330.TW,2330.TW,2330.TW,2330.TW,2330.TW
Date,,,,,
2024-01-02,583.1204833984375,583.1204833984375,579.1871243198646,580.1704640895078,26059058
2024-01-03,568.3704223632812,575.2538011808297,566.4037427011245,574.2704613497513,37106763
2024-01-04,570.3370971679688,571.3204369906721,567.3870776998585,570.3370971679688,15309129
2024-01-05,566.4036865234375,570.337045457628,564.4370070563423,568.3703659905328,18158971
2024-01-08,573.2871704101562,575.2538502400367,569.3538107503953,572.303830495216,17761275
2024-01-09,576.2371826171875,579.1872023234188,573.2871629109561,578.2038624213417,22501510
2024-01-10,574.2705078125,576.2371876337756,570.3371481699486,571.3204880805864,13037716
2024-01-11,576.2371826171875,579.1872023234188,573.2871629109561,576.2371826171875,23997409
2024-01-12,574.2705078125,578.2038674550513,571.3204880805864,571.3204880805864,16496053
2024-01-15,576.2371826171875,580.170542225496,575.2538427151104,580.170542225496,21143076
2024-01-16,570.3370971679688,578.203815749596,569.3537573452653,571.3204369906721,27223860
2024-01-17,571.3204956054688,574.2705153762371,568.3704758347004,573.2871754526477,42592335
2024-01-18,578.2037963867188,579.1871361764921,575.2537770173988,576.2371168071721,27209996
2024-01-19,615.5707397460938,616.5540795859437,603.7706616678938,614.5873999062437,161106401
2024-01-22,615.5707397460938,622.4541186250436,612.6207202265438,622.4541186250436,65168775
2024-01-23,617.537353515625,618.5206932505225,611.6373151062401,618.5206932505225,41072439
2024-01-24,616.5540161132812,619.5040353291342,613.6039968974283,617.537355851899,26635005
2024-01-25,631.30419921875,631.30419921875,622.4541403511975,624.4208200995424,52243347
2024-01-26,633.2708740234375,635.2375537564295,628.3541746909574,633.2708740234375,41153025
2024-01-29,637.2042236328125,637.2042236328125,633.2708642276717,635.2375439302422,27825490
2024-01-30,631.30419921875,636.2208985896125,631.30419921875,631.30419921875,36161825
2024-01-31,617.537353515625,626.3874111297024,615.5706740458301,623.4373919250099,41277950
2024-02-01,617.537353515625,617.537353515625,608.6872959015476,614.5873343109325,44946369
2024-02-02,624.4208374023438,624.4208374023438,617.5374580923967,622.4541575995017,26334815
2024-02-05,635.237548828125,636.220888686992,627.3708299571884,634.2542089692579,44017740
2024-02-15,685.3878784179688,697.1879566690673,681.4545190009359,697.1879566690673,112945296
2024-02-16,671.6211547851562,687.3545932574293,671.6211547851562,685.3879134483951,44232811
2024-02-19,666.7044067382812,670.6377660700706,662.771047406492,662.771047406492,34408673
2024-02-20,675.5545043945312,676.5378442844795,663.7544257151508,663.7544257151508,30166461
2024-02-21,669.6544799804688,671.6211598041999,666.7044602448719,666.7044602448719,30564485
2024-02-22,680.4711303710938,683.4211497224135,673.5877518846809,683.4211497224135,33145643
2024-02-23,685.3878784179688,691.287917543518,684.4045385637105,689.3212378350015,46448923
2024-02-26,686.3711547851562,688.3378343117613,683.4211354952487,688.3378343117613,28798079
2024-02-27,686.3711547851562,689.3211740750638,679.4877764420387,688.3378343117613,33006829
2024-02-29,678.5044555664062,686.3711738918139,676.5377759850544,679.4877953570822,54368302
2024-03-01,677.5211791992188,685.3878982610385,676.5378393164913,685.3878982610385,23390635
2024-03-04,712.9213256835938,712.9213256835938,699.1545690497037,702.1045883283944,88861397
2024-03-05,717.8380737304688,725.704792346693,715.8713940764127,722.754772865609,64403889
2024-03-06,722.7547607421875,725.7047801737882,705.0546441525829,706.0379839631165,43687122
2024-03-07,747.3382568359375,756.1883151405735,741.4382179661801,742.4215577778064,71817344
2024-03-08,770.9384155273438,782.7384933160275,759.1383377386599,781.7551535003039,87139744
2024-03-11,753.2383422851562,765.0384207543754,748.3216429229816,755.2050220300262,64759810
2024-03-12,757.1716918945312,758.1550317541345,741.4382541408786,744.3882737196885,58110339
2024-03-13,766.0217895507812,771.9218290081685,764.0551097316521,771.9218290081685,36754557
2024-03-14,770.9384155273438,771.9217553430674,757.1716581072126,766.0217164487254,42010806
2024-03-15,740.4548950195312,764.05505103609,740.4548950195312,758.1550120319503,73316437
2024-03-18,754.7797241210938,755.7676556971685,744.9004083603464,744.9004083603464,43589856
2024-03-19,752.8037719726562,755.7675663505014,745.8882517576843,748.8520461355295,30152375
2024-03-20,748.8521118164062,759.7193588216575,742.9245225408146,754.7797010919978,41280325
2024-03-21,774.5382690429688,774.5382690429688,762.6830914555765,763.6710229211924,46026103
2024-03-22,775.5262451171875,779.4779712069567,765.6469298927648,778.4900396845144,30660820
2024-03-25,770.5866088867188,778.4900612855569,769.598677336864,773.550403536283,19877101
2024-03-26,772.5625,782.4418158567776,766.6349104859336,778.4900895140665,40990702
2024-03-27,769.5986938476562,775.526283273954,769.5986938476562,775.526283273954,18794479
2024-03-28,759.7193603515625,766.6348811870124,758.7314288036412,764.6590180911695,27190918
2024-03-29,766.6348876953125,767.6228192516209,758.7314352448453,759.7193668011537,9802000
2024-04-01,760.7073364257812,773.5504473005022,759.7194048200334,773.5504473005022,21041261
2024-04-02,780.4658813476562,780.4658813476562,773.5503608800187,774.5382923753956,37974481
2024-04-03,770.5866088867188,775.5262666359926,768.6107457870093,773.550403536283,30890544
2024-04-08,773.5504760742188,782.441860856681,773.5504760742188,779.4780659291936,32202226
2024-04-09,809.115966796875,810.1038983802656,782.4418140453297,785.4056087955014,56857731
